yyyy,mm,tmax,tmin,rain
1860,11,7.4,2.1,82.1
1860,12,4.4,---,66.6
1861,1,3.8,-0.7,16.8
1861,2,7.9,3.1,48
1861,3,10.1,3.4,43.1
1861,4,11.8,3,17.7
1861,5,16.1,6.5,34.9
1861,6,20,11.2,79.9
1861,7,19.7,12,130.8
1861,8,21.6,12.7,15.1
1861,9,17.9,9.9,49.6
1861,10,16.2,9.5,40.8
1861,11,8.4,1.6,78.4
1861,12,7,1.5,41.9
1862,1,6.6,2.2,62.2
1862,2,7.3,3.4,7.3
1862,3,9.4,3.9,138.9
1862,4,12.9,6.2,57.6
1862,5,17.6,9.2,95.5
1862,6,18.1,9.6,56.8
1862,7,19.9,10.6,44.8
1862,8,20,10.5,44.7
1862,9,18.2,9.9,55.1
1862,10,14.5,7.6,73.1
1862,11,6.7,0.4,25.3
1862,12,9.2,3.8,36
1863,1,7.7,2.5,82.1
1863,2,9.1,2.7,17.1
1863,3,10.8,1.9,17.3
1863,4,14.2,4.7,35.5
1863,5,16.4,6,23.2
1863,6,19.3,9.6,86.6
1863,7,21.8,9.5,17
1863,8,21.2,11.9,67.1
1863,9,15.8,7.6,70.3
1863,10,14.1,7,75.5
1863,11,10.3,4.6,51.1
1863,12,9.1,3.3,27.7
1864,1,4.8,-0.2,25
1864,2,5.5,0,36.9
1864,3,9.6,1.4,62.7
1864,4,14.2,4.3,41.4
1864,5,18.2,7.9,54.8
1864,6,19.8,9.8,25.6
1864,7,22.8,10.3,12
1864,8,21,8.8,19.8
1864,9,18.3,9.4,74.9
1864,10,13.6,6.8,39.8
1864,11,8.9,2,59.4
1864,12,5.6,1.3,9.5
1865,1,4.7,-0.9,78.1
1865,2,5,0.2,52.9
1865,3,6,-0.2,24.9
1865,4,17.2,5.4,23.3
1865,5,18.4,8.1,55.8
1865,6,21.9,10.8,89.1
1865,7,22.3,12.5,71.1
1865,8,20,10.8,79
1865,9,22.3,10.9,4.7
1865,10,14.6,6.1,137.7
1865,11,10.3,4,65.7
1865,12,8.4,3.4,49.8
1866,1,8.6,3.4,73.1
1866,2,7.9,1.3,73.2
1866,3,8.4,1.8,42.7
1866,4,13.6,4.7,52.2
1866,5,15.7,4.8,42.6
1866,6,21.9,11.1,81.7
1866,7,21.7,11.2,50.4
1866,8,19.8,11.3,75.1
1866,9,17,10.3,145.4
1866,10,14.2,8,53.4
1866,11,10.7,3.7,38.8
1866,12,9.2,3.3,51.6
1867,1,4.6,-1.1,65.8
1867,2,10.1,4.4,39.3
1867,3,6,0.5,73.4
1867,4,14,6.6,66.1
1867,5,16.8,6.8,63.9
1867,6,20,9.6,49.1
1867,7,20.3,10.5,99.7
1867,8,21.5,11.8,60.8
1867,9,18.4,9.6,41.6
1867,10,13.5,6.3,72.5
1867,11,8.4,1.6,24.4
1867,12,6.2,0.1,35.7
1868,1,5.9,1.7,87.2
1868,2,9.8,3.3,42.3
1868,3,11.1,2.9,38.7
1868,4,14.1,4.6,39.7
1868,5,20.4,7.8,14.9
1868,6,23.6,9.4,23.6
1868,7,25.8,12.7,47.5
1868,8,22.1,12.5,85.8
1868,9,19.7,9.4,101.3
1868,10,12.7,5,57
1868,11,7.9,2.6,30.7
1868,12,10.4,5.2,105.3
1869,1,8.2,3,96.3
1869,2,10.5,5.1,55.2
1869,3,7.1,1.1,33.1
1869,4,16,6,29.8
1869,5,15.5,6.5,75.9
1869,6,18.9,8.8,36.2
1869,7,24.1,12.4,27
1869,8,21.5,10.7,33.6
1869,9,19,11.3,112.1
1869,10,13.9,6.1,28.1
1869,11,10,3.2,61.3
1869,12,5.6,1,87.5
1870,1,5.9,1.3,30.2
1870,2,5.1,0.8,48.7
1870,3,8.3,1.5,42.6
1870,4,15.6,3.7,13.5
1870,5,18,6.3,26.3
1870,6,22.3,11.2,17.3
1870,7,24.9,13,22.6
1870,8,21.4,10.6,59.8
1870,9,18.3,8.2,33.8
1870,10,14.1,6.7,74.6
1870,11,8.3,2.1,29.6
1870,12,3.2,-2.3,50.9
1871,1,2.7,-1.2,28.2
1871,2,9,3.8,25.1
1871,3,11.9,3.2,24.3
1871,4,13.8,5.3,67.1
1871,5,17,5.8,11
1871,6,17.5,9,81.3
1871,7,21.1,11.9,96.3
1871,8,23.8,12,13
1871,9,17.9,9.6,118.8
1871,10,14.1,6,30.4
1871,11,6.4,0.2,18.4
1871,12,6,0.9,27.4
1872,1,7.9,2.6,103.7
1872,2,10.1,4.7,38.6
1872,3,11.2,3.6,49.1
1872,4,13.9,4.5,48
1872,5,15.2,5.9,65.2
1872,6,20.4,10.2,74.1
1872,7,23.7,12.9,75.9
1872,8,21,11.3,30.1
1872,9,18.3,10,25.5
1872,10,12.6,5.2,74.4
1872,11,10.1,4.6,80.8
1872,12,7.9,3.5,96.9
1873,1,7.8,3.2,56.3
1873,2,4.2,-0.1,40.9
1873,3,9.7,2.2,60.1
1873,4,12.8,3.9,12.2
1873,5,16.1,5.4,59.3
1873,6,20,10.3,70.7
1873,7,22.6,11.8,57.3
1873,8,21.6,12.6,66.8
1873,9,16.9,7.8,45.9
1873,10,12.9,4.7,68.6
1873,11,9.6,3.8,43.7
1873,12,7.3,2.1,12.3
1874,1,8.6,3,58.8
1874,2,7.1,1,43.2
1874,3,11,3.1,15.8
1874,4,15.7,5.4,32.5
1874,5,15.7,6,39.7
1874,6,20.4,9,17.6
1874,7,25.3,11.8,12.8
1874,8,21.2,11.2,45.9
1874,9,18.6,10.4,85.7
1874,10,14.7,7.8,80
1874,11,8.7,2.5,64.6
1874,12,3.5,-2.3,46.8
1875,1,9.3,4.9,90.4
1875,2,4.5,-0.4,37.3
1875,3,8.6,2.4,28.5
1875,4,13.4,3.5,37.6
1875,5,18.3,7.8,45.1
1875,6,20.6,10.5,75.8
1875,7,19.9,11.1,119.2
1875,8,21.9,12.8,45.9
1875,9,20.1,11.4,51.9
1875,10,12.6,6.4,192.9
1875,11,8.4,3.6,97.2
1875,12,6.2,2.4,22.5
1876,1,5.5,0.6,43.9
1876,2,8.1,3,72.8
1876,3,8.6,1.9,87.4
1876,4,13,4.8,73.3
1876,5,15.4,4.7,20.4
1876,6,20.8,10,52.8
1876,7,24.5,13.1,21.8
1876,8,23.8,11.9,68.3
1876,9,17.4,9.8,148.6
1876,10,14.8,8.8,25.9
1876,11,9.7,4.1,83.2
1876,12,8.8,4.9,130.2
1877,1,9.3,3.2,118.5
1877,2,9.4,4,39.9
1877,3,9,2.2,50.5
1877,4,12.1,4.3,55
1877,5,14.5,5.5,58.4
1877,6,22.2,10.5,25.5
1877,7,21.1,11.1,85.4
1877,8,20.5,11.9,87.3
1877,9,15.9,7.6,63.5
1877,10,13.7,5.2,43.1
1877,11,10.8,4.3,98.2
1877,12,7.8,2.3,44.6
1878,1,7.5,2.6,44.3
1878,2,8.8,4.2,34.2
1878,3,9.5,2.2,19.5
1878,4,14.1,5.5,58.4
1878,5,17.7,8.4,126.7
1878,6,21.1,11.1,49
1878,7,22.2,12.6,29.1
1878,8,21.7,13.1,130.7
1878,9,18.1,9.4,34.4
1878,10,14.1,7.4,54.1
1878,11,6.6,2.6,58.1
1878,12,3.1,-2,38.6
1879,1,1.6,-2.8,76.5
1879,2,6,1.1,84.6
1879,3,8.6,1.1,22.3
1879,4,9.5,2.4,62.1
1879,5,12.9,5.2,57.6
1879,6,17,10.2,110.7
1879,7,17.5,11.4,86.8
1879,8,18.7,11.8,128.7
1879,9,16.6,9.5,73.6
1879,10,12.2,6,18.6
1879,11,6.7,0.9,17.4
1879,12,3.7,-3.2,18.7
1880,1,3,-2.5,11.1
1880,2,9,2.4,60.9
1880,3,11.7,2.5,35.3
1880,4,12.2,4.7,48.7
1880,5,15.9,6.4,21.1
1880,6,17.9,10,87.6
1880,7,19.7,12.2,155.1
1880,8,20.5,13.2,12.7
1880,9,19.8,11.5,88.6
1880,10,12.2,4.9,133.5
1880,11,9.8,3.1,47.8
1880,12,9.3,3.6,75.7
1881,1,1.8,-4,31.9
1881,2,6.3,1.5,70.2
1881,3,10.3,2.1,37.7
1881,4,12.9,3.1,19.9
1881,5,17.7,6.9,31.9
1881,6,19.2,10.3,48
1881,7,22.7,12.5,63.7
1881,8,19.2,10.8,118.2
1881,9,17.6,9.5,35.5
1881,10,11.9,4.2,42.8
1881,11,12.5,6.9,82
1881,12,7.1,2.1,75.5
1882,1,7.7,2.8,28.4
1882,2,9.2,3.5,38.8
1882,3,12.6,4,28.2
1882,4,13.7,5.1,99.7
1882,5,17.4,7.3,47
1882,6,17.5,9.7,83.8
1882,7,20,11.9,82.2
1882,8,19.9,11.5,33.8
1882,9,17.3,8.3,51.4
1882,10,13.6,7.2,147.9
1882,11,9.6,3.5,84.8
1882,12,7.2,2.5,80.3
1883,1,8.2,3.3,57.8
1883,2,9.9,4,95.1
1883,3,7.2,-1.2,24
1883,4,14,4.5,25.7
1883,5,16.2,7.1,47.9
1883,6,19.6,10.1,91.7
1883,7,18.8,11.2,87.9
1883,8,21,11.8,18.7
1883,9,17.5,10.4,98.4
1883,10,13.8,7.4,48.2
1883,11,10.3,3.3,79.4
1883,12,7.3,2.7,11.4
1884,1,9.5,5.1,55.7
1884,2,8.9,3.1,32.2
1884,3,10.9,3,39.3
1884,4,11.7,3.1,40.2
1884,5,17.6,6.6,19.4
1884,6,19.5,9.9,54.6
1884,7,21.5,12.4,57.5
1884,8,23.9,12,38.7
1884,9,19.7,10.9,31.2
1884,10,13.7,6.1,19.4
1884,11,8.8,2.6,41.4
1884,12,7.3,2.9,51.3
1885,1,5,0.9,49.4
1885,2,9.8,3.8,73.3
1885,3,9.4,1.2,29.8
1885,4,13,3.6,45
1885,5,13.7,5.3,53.5
1885,6,19.8,9.8,39.9
1885,7,22.7,11.9,3.1
1885,8,18.9,9.9,41.7
1885,9,17.1,8.6,111.9
1885,10,11.2,4.8,98.4
1885,11,8.4,4,91
1885,12,6.4,1.3,24.8
1886,1,4.6,-0.5,97.6
1886,2,3.3,-1.1,19.9
1886,3,7.8,1.5,41.8
1886,4,12.9,3.8,59
1886,5,15.7,7,122.3
1886,6,18.6,9.5,33.6
1886,7,21.8,12,93.5
1886,8,21.2,12,39.7
1886,9,19,10.3,49.7
1886,10,15.1,8.7,88.1
1886,11,9.5,3.8,64.3
1886,12,5.5,-0.3,120.8
1887,1,4.7,-0.5,65.3
1887,2,7.5,0.5,15.2
1887,3,7.3,-0.1,45.7
1887,4,11.6,1.9,29.1
1887,5,14.4,6.1,49.9
1887,6,21.6,10.2,32.8
1887,7,24,12.4,18
1887,8,22.2,10.5,40.5
1887,9,16.3,8.1,61.2
1887,10,11.5,3.5,53.7
1887,11,7.8,2.2,46
1887,12,5.7,0.3,35.3
1888,1,5.6,0.7,19.8
1888,2,4.1,-0.7,71.7
1888,3,6.9,0.9,77.6
1888,4,10.4,3,39.5
1888,5,16.3,6.3,39.4
1888,6,18.3,9.6,77
1888,7,18,10.9,119.6
1888,8,19,10.5,47.6
1888,9,17.6,8.8,33
1888,10,13,3.7,19.5
1888,11,10.5,6,114.8
1888,12,7.6,2.5,56.8
1889,1,5.1,-0.1,16.1
1889,2,5.8,-0.4,47.7
1889,3,9,1.4,50.4
1889,4,10.9,3.8,79
1889,5,17.3,8.9,87.4
1889,6,20.6,10.9,50.5
1889,7,20,11.3,72.4
1889,8,19.6,10.8,60.7
1889,9,17.5,9.1,45.2
1889,10,12.8,5.4,62.5
1889,11,9.5,4.3,26.5
1889,12,5.6,0.1,30.1
1890,1,8.7,3.3,51
1890,2,6.3,0.3,18.7
1890,3,10.1,2.6,21.9
1890,4,11.9,3,25.8
1890,5,17,6.6,45.2
1890,6,19,9.7,44.6
1890,7,19.3,11.2,77.2
1890,8,19.4,10.8,62.7
1890,9,20.2,9.9,26.3
1890,10,14,5.7,33.6
1890,11,9.2,3,47.1
1890,12,0.2,-4,13.3
1891,1,4.3,-1.9,39.4
1891,2,8.9,-0.2,2.5
1891,3,7.9,0.9,35.4
1891,4,11.2,2.2,24
1891,5,14.1,5.6,65.8
1891,6,19.9,10.4,36.3
1891,7,19.3,10.7,62.3
1891,8,18,10.9,119.7
1891,9,18.6,9.8,36.8
1891,10,13.2,6.6,150.1
1891,11,8.4,3.2,62.6
1891,12,7.3,1.6,86.1
1892,1,4.8,-0.3,12
1892,2,6.4,0.9,18.6
1892,3,6.9,-0.9,9.5
1892,4,14.3,1.7,19.5
1892,5,17.1,6.9,32.8
1892,6,19.2,8.7,52.7
1892,7,18.9,10.3,84.4
1892,8,20.4,11.5,78.7
1892,9,16.9,8.9,59.1
1892,10,11.1,4,85.6
1892,11,9.4,3.8,49.2
1892,12,4.7,-0.6,25.3
1893,1,4.4,-0.3,43.1
1893,2,8,2.5,69.4
1893,3,13.7,1.7,9.4
1893,4,18,3.9,1.5
1893,5,19.4,7.7,23.1
1893,6,21.8,10.2,19.6
1893,7,21.6,12.5,98.9
1893,8,23.2,13,27.7
1893,9,18.6,8.9,16
1893,10,14.3,6.6,73.5
1893,11,8.2,1.7,42.5
1893,12,7.8,1.3,47.7
1894,1,6.1,1.2,49.6
1894,2,8.6,2.2,41.3
1894,3,11.8,2.2,45
1894,4,15,5.1,46.9
1894,5,14.1,5.3,39.3
1894,6,18.2,9.9,74
1894,7,20.6,12,84.8
1894,8,18.6,11,69.7
1894,9,16,8.3,47.1
1894,10,12.5,6.9,89.4
1894,11,10.6,5.4,126.1
1894,12,7.5,2.8,52.6
1895,1,3.1,-1.8,66.3
1895,2,1.8,-5.3,4.4
1895,3,10,2,39.2
1895,4,13.1,5,46.4
1895,5,19,7.3,4.6
1895,6,21.4,9.8,28.6
1895,7,20.4,12.2,91.5
1895,8,20.5,12.1,62.5
1895,9,22.4,9.9,16.4
1895,10,11.6,3.9,76.6
1895,11,11.1,5.4,113.5
1895,12,6.8,1.9,56.5
1896,1,7.2,2.4,16.8
1896,2,8,1.4,10.1
1896,3,11.4,4.3,69
1896,4,14,5.4,17.5
1896,5,18.2,6.6,6.1
1896,6,21.9,12,65
1896,7,22.8,12.1,37.4
1896,8,19.6,10.6,79.8
1896,9,17,10.7,152.6
1896,10,11.5,4.5,81.1
1896,11,7.8,1.6,21.8
1896,12,6.7,1.7,77.3
1897,1,3.9,-0.2,44.7
1897,2,8.8,4.1,60
1897,3,10.6,4.1,73.6
1897,4,11.6,4.1,53.5
1897,5,15.7,5.7,17.9
1897,6,20.6,11.2,74.1
1897,7,22.4,12.3,67.1
1897,8,20.9,12.1,108.9
1897,9,16.7,8.9,59.7
1897,10,14.2,6.3,36
1897,11,10.2,4.3,29.8
1897,12,7.6,1.9,65.5
1898,1,8.6,4.2,12.8
1898,2,8.5,2,32.9
1898,3,8.5,0.6,17.6
1898,4,13.6,3.7,36
1898,5,14.8,6.8,61.7
1898,6,18.8,9.5,34.8
1898,7,21.3,11.1,15.2
1898,8,22.4,12.5,43.8
1898,9,22.2,10,10.5
1898,10,14.6,8.4,125.6
1898,11,10.4,4.7,50.9
1898,12,10.1,5.1,65.2
1899,1,8.5,2.9,75.3
1899,2,9.5,2.1,51.2
1899,3,10.6,0.4,7.4
1899,4,12.2,5.1,48.8
1899,5,15.4,6.2,38
1899,6,22,10.3,20.3
1899,7,23.8,13.3,42.9
1899,8,24.9,12.3,47.6
1899,9,18.6,10.3,58.2
1899,10,14.1,4.7,70.1
1899,11,11.3,5.4,66.6
1899,12,5,-0.2,33.2
1900,1,7.2,2.1,58.5
1900,2,6,0.7,107
1900,3,7.2,0.9,12.9
1900,4,13.8,3.8,22.8
1900,5,15.2,6.3,34
1900,6,19.5,10.6,69.4
1900,7,24.3,13.4,22.4
1900,8,20.4,11.5,79.8
1900,9,19.6,9.2,10.4
1900,10,14.2,6.7,59.1
1900,11,10.3,5.4,42.2
1900,12,10.2,5,81.9
1901,1,6,1,26.9
1901,2,4.9,0.1,32.8
1901,3,7.6,1.2,36.1
1901,4,14,4.3,53.2
1901,5,17.4,6.2,31.8
1901,6,19.8,9.4,38.6
1901,7,23.8,13.2,118.1
1901,8,21.4,11.5,54.3
1901,9,18.5,10,47
1901,10,14.1,6.2,30.5
1901,11,8.1,1.7,13.4
1901,12,6.4,0.9,83.5
1902,1,7.8,2.6,17.1
1902,2,4.7,-0.5,26.9
1902,3,11,3.8,30.8
1902,4,12.7,3.5,30.6
1902,5,13.8,5.4,38.6
1902,6,18.5,9.8,50.1
1902,7,20.5,11,15.7
1902,8,19.6,11.1,56
1902,9,18,8.5,27.9
1902,10,13,6.8,39
1902,11,9.6,4.5,56.8
1902,12,7,2.5,33.9
1903,1,6.9,2.4,65.4
1903,2,10.5,4.5,19.8
1903,3,11.1,4.3,77.1
1903,4,11,2.6,58.5
1903,5,16.2,7.2,111
1903,6,17.5,8.9,141.8
1903,7,20.7,11.9,88.2
1903,8,18.8,10.9,84.7
1903,9,17.8,9.7,39.3
1903,10,14,8.5,163.3
1903,11,9.6,3.9,38.2
1903,12,5.7,1.6,26.5
1904,1,6.8,1.4,79.1
1904,2,6.4,1.5,76
1904,3,8.3,1.6,26.4
1904,4,13.8,5.4,20.4
1904,5,15.6,7.4,81.7
1904,6,18.8,9.2,26.5
1904,7,23.2,13,85.1
1904,8,20.6,11,38.7
1904,9,17.3,7.9,31.6
1904,10,13.5,6.3,21.8
1904,11,8.5,2,39.5
1904,12,6.4,1.6,46.9
1905,1,6.3,0.4,19.9
1905,2,8.4,3.2,10.2
1905,3,11.1,3.9,75.7
1905,4,11.5,4.5,49
1905,5,16.7,6.1,19.5
1905,6,19.5,10.9,105.1
1905,7,23.3,13.4,4
1905,8,19.7,11.4,80.4
1905,9,16.8,9.4,32.5
1905,10,11.4,3.8,35.4
1905,11,8.3,2.2,75.5
1905,12,7,2.2,25.1
1906,1,8.4,3.1,89.3
1906,2,6.6,0.7,40.4
1906,3,9.3,2.1,32.2
1906,4,13.8,2.1,9
1906,5,15.5,7.2,45
1906,6,20.2,9.3,86.9
1906,7,22.2,11.6,26.7
1906,8,23.4,12.6,25.4
1906,9,20.4,9.4,25
1906,10,14.9,8.3,104.8
1906,11,10.5,4.7,82.4
1906,12,6.2,0.6,48.3
1907,1,6.3,1.1,15.5
1907,2,6.3,0.3,28.6
1907,3,12.1,1.8,21.3
1907,4,12.6,4.1,57.4
1907,5,15.9,7.3,59.6
1907,6,16.8,9.5,75.1
1907,7,19.2,10.4,86
1907,8,19.3,11,34.9
1907,9,19.7,9,18.1
1907,10,13.7,7,135.9
1907,11,10.2,4.2,57.5
1907,12,7.8,3,97.7
1908,1,5.5,-0.4,42.4
1908,2,8.6,2.7,22.2
1908,3,8.3,1.5,67.7
1908,4,10.4,2.4,109.4
1908,5,17.6,9,37.2
1908,6,20.5,9.8,43.1
1908,7,21.5,12.2,54.2
1908,8,20,10.7,77
1908,9,17,9.4,41.9
1908,10,16.1,8.1,29.7
1908,11,11.1,5,28.6
1908,12,6.5,1.6,49.9
1909,1,6.2,1.1,20.9
1909,2,6.5,-0.6,10.6
1909,3,7.1,1.2,63.7
1909,4,15.1,3.5,50.2
1909,5,17.3,5.4,48.1
1909,6,16.1,8.8,101.4
1909,7,19.6,11.7,61.5
1909,8,21.2,11.7,83.7
1909,9,16.1,9.1,79.1
1909,10,14.1,8.1,90.8
1909,11,8.3,2.3,16.1
1909,12,7.3,1.9,78.4
1910,1,6.7,1.6,40.4
1910,2,8.6,2.8,74.8
1910,3,10.6,1.9,15.4
1910,4,11.8,4.2,73
1910,5,16.5,7.3,52.6
1910,6,19.9,11.3,75.7
1910,7,18.3,11.1,51.1
1910,8,19.5,12,48
1910,9,17.1,9.1,11.2
1910,10,14.2,8.5,94.6
1910,11,6.9,0.4,78.6
1910,12,8.8,4.7,125.9
1911,1,6.3,1.3,20.4
1911,2,8,2.4,35.3
1911,3,8.5,2.7,41.7
1911,4,12.2,4.2,29.6
1911,5,18.6,8.4,56
1911,6,20.1,10.5,30.2
1911,7,26.1,13.1,10.8
1911,8,24.9,14,26.1
1911,9,21.4,9.4,36.5
1911,10,13.4,6.7,62.6
1911,11,9.3,3.6,61.9
1911,12,9.1,4.6,126.9
1912,1,6.8,1.7,111.5
1912,2,8.8,3.7,54.2
1912,3,10.8,5,83.3
1912,4,14.7,3.8,0.6
1912,5,17.5,8.8,55.2
1912,6,18.6,10.2,83
1912,7,21.1,12.5,78.7
1912,8,17.1,10,123.6
1912,9,15.2,7.7,29.8
1912,10,13.3,3.9,80.8
1912,11,9.2,4.1,47.2
1912,12,10.1,5,85.9
1913,1,7.6,3,77
1913,2,7.8,1.9,24.9
1913,3,10.4,3.3,68.1
1913,4,12.2,4.7,96.8
1913,5,17,7.8,68.4
1913,6,19.9,10,14.5
1913,7,19.6,11.4,20.1
1913,8,21,11.1,20.4
1913,9,18.6,10.8,47.6
1913,10,15,8.5,120.9
1913,11,11.9,5.7,63.6
1913,12,7.5,2.8,24.2
1914,1,6,1.2,13.9
1914,2,10.4,3.8,51.4
1914,3,10.1,3.3,92
1914,4,15.9,4.7,29.8
1914,5,16.6,6.4,37.1
1914,6,20.8,10,77.4
1914,7,20.9,12.2,77.7
1914,8,21.8,12.1,47.3
1914,9,19.5,8.3,22.2
1914,10,14.6,7.2,74.8
1914,11,10.2,4,74.1
1914,12,8,2.6,147.9
1915,1,6.5,2.2,81.1
1915,2,7.9,1.9,91.7
1915,3,9.3,1.8,33.1
1915,4,12.9,3.5,21
1915,5,17.1,6.4,90.3
1915,6,20.6,9.5,35.1
1915,7,19.7,11.3,114.1
1915,8,20.8,12.2,35.2
1915,9,18.8,8.6,74.3
1915,10,12.7,6.3,53.3
1915,11,6.9,0.1,64.6
1915,12,9,3.5,127.1
1916,1,10.3,5.1,38.1
1916,2,6.5,1.1,97.3
1916,3,6.5,1.1,131.8
1916,4,13.9,4.3,25.2
1916,5,17.3,7.6,51.6
1916,6,15.9,8.1,46.9
1916,7,20.9,11,45.3
1916,8,21.8,12.6,102.9
1916,9,17.6,9,23.3
1916,10,14.6,8.2,93.7
1916,11,9.4,3.8,85.6
1916,12,4.1,-0.6,72.3
1917,1,3.2,0.1,36.5
1917,2,4.3,-1.4,32
1917,3,6.9,0,45.5
1917,4,10.5,1.8,41.5
1917,5,19.5,8.2,42
1917,6,21.4,10.8,56.4
1917,7,21.1,11.9,82.9
1917,8,19,12.7,101.3
1917,9,18.7,10.8,43.1
1917,10,12.2,4,106
1917,11,10.6,5.3,17.3
1917,12,4.7,-0.7,24.5
1918,1,6.4,1.3,69.6
1918,2,9.2,3.9,27.9
1918,3,10.9,2.1,19.8
1918,4,10.5,3.6,81.5
1918,5,19.1,8,47
1918,6,18.9,8.5,33.3
1918,7,20.8,11.7,100.6
1918,8,21.1,12,30.5
1918,9,16.1,9,126.1
1918,10,12.6,6.4,44.3
1918,11,9.2,2.1,49.5
1918,12,9.9,5,59.5
1919,1,5.2,0.6,85.5
1919,2,4.3,-1,55.7
1919,3,7.5,1,97.9
1919,4,11.8,3.3,57.1
1919,5,19.5,7.8,15.6
1919,6,20.4,9.7,17.9
1919,7,18.7,10.2,59.7
1919,8,22.4,12,72.5
1919,9,18,8.7,31.5
1919,10,12.1,2.3,38.2
1919,11,6.1,1,21.8
1919,12,8.6,3.2,112.3
1920,1,8.6,2.8,54.3
1920,2,9.9,2.7,16.1
1920,3,12,3.8,41.8
1920,4,12,5.9,78.5
1920,5,17.1,7.8,42.9
1920,6,19.6,10.1,81.2
1920,7,18.2,11,119
1920,8,18,9.7,28.5
1920,9,18.1,9.3,45
1920,10,14.5,6.6,48.9
1920,11,9.8,3.4,35.1
1920,12,6.8,2.2,58.9
1921,1,9.9,5.2,62.4
1921,2,8.6,1.4,14.3
1921,3,11.8,4.1,23.8
1921,4,14.2,3.9,23.1
1921,5,17.5,6.9,38
1921,6,21.4,9.5,8.7
1921,7,26.1,13.3,7.2
1921,8,20.9,12.1,41.9
1921,9,20.6,9.3,43.6
1921,10,18.9,8.2,32.5
1921,11,8,1.7,42.9
1921,12,9.4,3.6,40.9
1922,1,7.1,1.3,61.2
1922,2,8.3,1.4,58
1922,3,8.5,1.8,48.9
1922,4,10.4,1.9,71.9
1922,5,19.9,8.1,34
1922,6,19.9,9.3,30.3
1922,7,18.5,10.4,90.2
1922,8,18.1,10.1,130.4
1922,9,16.9,8.8,35.4
1922,10,12.9,4,12.7
1922,11,9,2.3,31.2
1922,12,8.4,3.9,66.4
1923,1,8.4,2.2,40.6
1923,2,8.8,3.7,91.3
1923,3,9.8,3.6,66.8
1923,4,12.2,4.3,57.9
1923,5,14.7,6,36.6
1923,6,17.3,8.8,10.8
1923,7,23.4,13.5,37.9
1923,8,21.4,11.1,83.8
1923,9,18,8.5,46.3
